Date,Open,High,Low,Close,Adj Close,Volume
2015-09-14,25706.869140625,25891.73046875,25531.0703125,25856.69921875,25856.69921875,8800
2015-09-15,25908.33984375,25909.830078125,25649.369140625,25705.9296875,25705.9296875,11200
2015-09-16,25884.05078125,26006.75,25816.5,25963.970703125,25963.970703125,9600
2015-09-18,26130.359375,26471.8203125,26130.359375,26218.91015625,26218.91015625,56600
2015-09-21,26107.98046875,26233.4609375,25972.5390625,26192.98046875,26192.98046875,8100
2015-09-22,26274.369140625,26339.099609375,25571.33984375,25651.83984375,25651.83984375,13600
2015-09-23,25526.529296875,25934.01953125,25386.48046875,25822.990234375,25822.990234375,11700
2015-09-24,25798.05078125,25949.900390625,25670.9609375,25863.5,25863.5,11800
2015-09-28,25922.7109375,25936.890625,25593.560546875,25616.83984375,25616.83984375,11700
2015-09-29,25496.380859375,26054.369140625,25287.330078125,25778.66015625,25778.66015625,20700
2015-09-30,25986.51953125,26179.69921875,25918.2109375,26154.830078125,26154.830078125,27500
2015-10-01,26344.189453125,26431.80078125,26168.7109375,26220.94921875,26220.94921875,11000
2015-10-05,26379.419921875,26822.419921875,26375.310546875,26785.55078125,26785.55078125,11400
2015-10-06,26976.66015625,27010.26953125,26751.25,26932.880859375,26932.880859375,13600
2015-10-07,26966.859375,27082.279296875,26877.509765625,27035.849609375,27035.849609375,17100
2015-10-08,27116.859375,27120.109375,26762.359375,26845.810546875,26845.810546875,14900
2015-10-09,26974.919921875,27200.439453125,26910.58984375,27079.509765625,27079.509765625,18800
2015-10-12,27242.599609375,27305.0390625,26855.75,26904.109375,26904.109375,18400
2015-10-13,26874.2890625,26918.51953125,26719.099609375,26846.529296875,26846.529296875,10800
2015-10-14,26760.3203125,26869.080078125,26713.279296875,26779.66015625,26779.66015625,10900
2015-10-15,26842.189453125,27037.94921875,26836.76953125,27010.140625,27010.140625,12700
2015-10-16,27062.80078125,27239.220703125,26917.119140625,27214.599609375,27214.599609375,10200
2015-10-19,27305.619140625,27387.91015625,27246.7890625,27364.919921875,27364.919921875,8200
2015-10-20,27402.900390625,27432.0703125,27216.400390625,27306.830078125,27306.830078125,9200
2015-10-21,27312.349609375,27445.240234375,27190.55078125,27287.66015625,27287.66015625,9700
2015-10-23,27466.640625,27555.060546875,27421.7109375,27470.810546875,27470.810546875,9900
2015-10-26,27575.0390625,27618.140625,27318.19921875,27361.9609375,27361.9609375,11300
2015-10-27,27291.060546875,27296.30078125,27209.51953125,27253.439453125,27253.439453125,10100
2015-10-28,27131.7109375,27163.98046875,26919.9609375,27039.759765625,27039.759765625,10500
2015-10-29,27083.69921875,27099.109375,26794.099609375,26838.140625,26838.140625,9900
2015-10-30,26878.48046875,26942.2890625,26585.19921875,26656.830078125,26656.830078125,14000
2015-11-02,26641.689453125,26824.30078125,26378.259765625,26559.150390625,26559.150390625,8800
2015-11-03,26660.7109375,26732.240234375,26514.48046875,26590.58984375,26590.58984375,8500
2015-11-04,26704.01953125,26800.060546875,26510.310546875,26552.919921875,26552.919921875,8000
2015-11-05,26557.80078125,26557.80078125,26243.19921875,26304.19921875,26304.19921875,12300
2015-11-06,26284.009765625,26438.859375,26190.1796875,26265.240234375,26265.240234375,15600
2015-11-09,25809.0,26193.169921875,25656.900390625,26121.400390625,26121.400390625,13300
2015-11-10,26094.08984375,26094.08984375,25709.23046875,25743.259765625,25743.259765625,12800
2015-11-13,25724.08984375,25724.08984375,25540.73046875,25610.529296875,25610.529296875,11500
2015-11-16,25580.150390625,25866.419921875,25451.419921875,25760.099609375,25760.099609375,11300
2015-11-17,25897.880859375,25948.19921875,25732.7890625,25864.470703125,25864.470703125,10700
2015-11-18,25837.7109375,25890.359375,25453.3203125,25482.51953125,25482.51953125,16100
2015-11-19,25640.33984375,25884.51953125,25603.099609375,25841.919921875,25841.919921875,9900
2015-11-20,25856.130859375,26058.759765625,25769.810546875,25868.490234375,25868.490234375,10000
2015-11-23,25945.140625,25958.0390625,25747.009765625,25819.33984375,25819.33984375,10100
2015-11-24,25785.609375,25901.560546875,25703.859375,25775.740234375,25775.740234375,7500
2015-11-26,25769.810546875,26016.0390625,25769.810546875,25958.630859375,25958.630859375,8400
2015-11-27,26003.19921875,26184.650390625,25937.3203125,26128.19921875,26128.19921875,10400
2015-11-30,26142.529296875,26231.060546875,26089.130859375,26145.669921875,26145.669921875,8300
2015-12-01,26201.26953125,26246.01953125,26121.51953125,26169.41015625,26169.41015625,11000
2015-12-02,26239.390625,26256.419921875,26041.6796875,26117.849609375,26117.849609375,10100
2015-12-03,26123.859375,26123.859375,25857.349609375,25886.619140625,25886.619140625,9500
2015-12-04,25810.060546875,25810.060546875,25623.7109375,25638.109375,25638.109375,10500
2015-12-07,25746.029296875,25785.529296875,25477.689453125,25530.109375,25530.109375,8700
2015-12-08,25488.419921875,25542.470703125,25256.7890625,25310.330078125,25310.330078125,12600
2015-12-09,25299.33984375,25316.94921875,25012.220703125,25036.05078125,25036.05078125,11600
2015-12-10,25136.7109375,25289.580078125,25034.140625,25252.3203125,25252.3203125,10900
2015-12-11,25281.76953125,25316.140625,24930.4296875,25044.4296875,25044.4296875,14900
2015-12-14,24935.599609375,25194.150390625,24867.73046875,25150.349609375,25150.349609375,11600
2015-12-15,25186.6796875,25342.779296875,25075.5390625,25320.439453125,25320.439453125,9700
2015-12-16,25402.470703125,25572.900390625,25372.470703125,25494.369140625,25494.369140625,10800
2015-12-17,25596.630859375,25831.310546875,25448.3203125,25803.779296875,25803.779296875,22700
2015-12-18,25764.669921875,25789.509765625,25481.509765625,25519.220703125,25519.220703125,10400
2015-12-21,25425.3203125,25757.83984375,25413.5390625,25735.900390625,25735.900390625,8100
2015-12-22,25731.0703125,25787.2109375,25485.169921875,25590.650390625,25590.650390625,8100
2015-12-23,25697.66015625,25875.26953125,25689.69921875,25850.30078125,25850.30078125,6900
2015-12-24,25893.83984375,25922.470703125,25763.400390625,25838.7109375,25838.7109375,4900
2015-12-28,25858.51953125,26073.41015625,25856.859375,26034.130859375,26034.130859375,6900
2015-12-29,26075.6796875,26133.779296875,25994.44921875,26079.48046875,26079.48046875,6000
2015-12-30,26123.869140625,26130.19921875,25939.25,25960.029296875,25960.029296875,6500
2015-12-31,25980.859375,26147.630859375,25941.91015625,26117.5390625,26117.5390625,6200
2016-01-04,26116.51953125,26116.51953125,25596.5703125,25623.349609375,25623.349609375,9100
2016-01-05,25744.69921875,25766.759765625,25513.75,25580.33984375,25580.33984375,10300
